region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
Yelandur,2020-12-26,2021-01-25,0.6956941726462418,0.4651083639705882,0.0966441759935501,0.2585705882352941,0.0531362628583867,0.2425800551470588,0.0533147658109104,5475.110914043351,227.8408481105785,0.1162682251579706,0.0056960468402213,8.750023596570558e-05,1.9404845538345e-06
Yelandur,2021-01-25,2021-02-24,0.7886874882803809,0.3902219056372549,0.0755942523581213,0.2226335477941176,0.0130978005204006,0.2071688725490196,0.0195928771070848,5475.110914043351,227.8408481105785,0.1202222812273057,0.0026424261903258,0.0001308711417772,3.777203172499858e-06
Yelandur,2021-02-24,2021-03-26,0.599402490126522,0.3724015625,0.0563912142548724,0.2213522058823529,0.0253085610789884,0.2056973039215686,0.0283362207474817,5475.110914043351,227.8408481105785,0.1247487972040668,0.0019711402778145,0.0001102222497902,1.729113150158688e-06
Yelandur,2021-03-26,2021-04-25,0.6575855087447167,0.3783730392156863,0.0794991836960188,0.2425330269607843,0.0417108066199742,0.2207962009803921,0.0430752289282624,5475.110914043351,227.8408481105785,0.1258203271730147,0.0049192592396307,9.441445121396996e-05,9.300661501855878e-07
Yelandur,2021-04-25,2021-05-25,0.3501507758727982,0.3733741830065358,0.0648903281803846,0.2493930147058823,0.0395453673677072,0.2331960784313725,0.0427563712673401,5475.110914043351,227.8408481105785,0.132697571528419,0.0055992415442271,7.925829290255302e-05,8.242936896321403e-07
Yelandur,2021-05-25,2021-06-24,1.0048762161403175,0.4145078125,0.0522097924776142,0.2744211397058823,0.0310240901021553,0.2562820772058823,0.0315122319725034,5475.110914043351,227.8408481105785,0.1414926593137254,0.0049494713522414,7.482390661685025e-05,8.857731139301047e-07
Yelandur,2021-06-24,2021-07-24,1.1603121105080163,0.4728310968137255,0.07032706133172,0.3411051776960784,0.0591719781946845,0.3247651041666666,0.0555773455357989,5475.110914043351,227.8408481105785,0.1390955614442746,0.002405988209606,7.636939686421066e-05,1.126432933981871e-06
Yelandur,2021-07-24,2021-08-23,2.5366154523611257,0.5061850490196079,0.0759225405932839,0.3366729166666666,0.0662000934929266,0.3178401960784313,0.064498780673229,5475.110914043351,227.8408481105785,0.1420354482642399,0.0050658529945333,6.875558775146287e-05,1.813266216526324e-06
Yelandur,2021-08-23,2021-09-22,0.665637105960986,0.4695602532679739,0.0584952504139239,0.3032669117647059,0.0993126202615251,0.2902985294117647,0.0921040925150707,5475.110914043351,227.8408481105785,0.1402978256559977,0.0030576535418751,7.500512210969847e-05,3.641065616732866e-07
Yelandur,2021-09-22,2021-10-22,1.0097538841503777,0.4665398284313725,0.081309353214368,0.2747380514705882,0.06697371634123,0.2618015625,0.0683417541813447,5475.110914043351,227.8408481105785,,,9.650717337016908e-05,1.4431143221980554e-06
Yelandur,2021-10-22,2021-11-21,1.0983561643835529,0.4560692401960785,0.092527208554655,0.2196288296568627,0.0543828437829125,0.212798743872549,0.0512811585499219,5475.110914043351,227.8408481105785,,,7.742498514578676e-05,2.2518434000763165e-06
Yelandur,2021-11-21,2021-12-21,0.9212009036692272,0.4700651348039216,0.1068793241490397,0.2570520526960784,0.0447712953675555,0.2431998774509804,0.0489952323715163,5475.110914043351,227.8408481105785,0.111999280249074,0.0048188376925941,8.089349499655567e-05,1.2711106548283973e-06
Yelandur,2021-12-21,2022-01-20,0.7829921519261731,0.4522465379901961,0.115280867537241,0.245777818627451,0.0448068154615519,0.2320251531862745,0.050721888081533,5475.110914043351,227.8408481105785,0.1222965009208103,0.0112103028085933,9.922605799055416e-05,1.7886968342104556e-06
Yelbarga,2018-09-08,2018-10-08,-0.669690297171492,0.465926848409748,0.1146546952780634,0.3323482032218092,0.0878218378783621,0.3040180090871541,0.0867441236402278,5236.356637115668,0.0003452669830012,0.1320540566758039,0.0229147560713105,9.27005616720401e-05,2.3303314766345274e-06
Yelbarga,2018-10-08,2018-11-07,-0.1262067868083036,0.505584541511772,0.1025147748021445,0.3594092007434945,0.0820334101501299,0.3251100991325898,0.0824841346013735,5236.356637115668,0.0003452669830012,0.1257555701036552,0.0283069816707529,0.0001201135466458,5.222179692146231e-06
Yelbarga,2018-11-07,2018-12-07,0.2877356088634322,0.5072357496902107,0.13860505432337,0.31887958488228,0.0868130646467417,0.2994485439900867,0.0834747828688401,5236.356637115668,0.0003452669830012,0.1294321281555324,0.0219640942368398,0.0001211905226129,4.857488635729595e-06
Yelbarga,2018-12-07,2019-01-06,-0.5012242009028647,0.4158108736059479,0.1122317350117607,0.2741430607187113,0.0749727492159651,0.2433787174721189,0.0721290471541068,5236.356637115668,0.0003452669830012,0.1309517935718755,0.0197216784197514,0.0001168780636977,3.086965457650434e-06
Yelbarga,2019-01-06,2019-02-05,-0.2918063491189393,0.3240416666666667,0.0643540760139512,0.2129075898389095,0.0487616087940863,0.1852585192069392,0.0435954922366908,5236.356637115668,0.0003452669830012,0.1266743741801362,0.017424491196047,0.0001475283182558,4.936346488686478e-06
Yelbarga,2019-02-05,2019-03-07,-0.922736160711132,0.3183950123915737,0.0459766733484223,0.2075766728624535,0.0371572418917228,0.1848239776951672,0.0325819314323043,5236.356637115668,0.0003452669830012,0.1300864243425581,0.0161646814717562,0.0001091505170332,2.1860244323609407e-06
Yelbarga,2019-03-07,2019-04-06,-0.5324277685555785,0.3221114002478314,0.0348653458859942,0.2238353159851301,0.0320297732044389,0.1994332507228418,0.0276674133935372,5236.356637115668,0.0003452669830012,0.1358209417596034,0.0133980072108588,9.943924524127468e-05,1.5899672127727474e-06
Yelbarga,2019-04-06,2019-05-06,-0.9496883765609496,0.2977652416356877,0.0460955427617465,0.2175192998760842,0.0388436085828077,0.189923760842627,0.0311154150339404,5236.356637115668,0.0003452669830012,0.131723867210856,0.0193626524291122,9.29193317002437e-05,1.3914629477703848e-06
Yelbarga,2019-05-06,2019-06-05,-0.7087975597748866,0.2789925030978934,0.0466045237166888,0.20375458488228,0.0375471968619163,0.1748231102850062,0.0334792599919617,5236.356637115668,0.0003452669830012,0.1360085365176281,0.0138789971960901,0.0001154240013061,8.447598577001554e-07
Yelbarga,2019-06-05,2019-07-05,-0.3304214703425501,0.3055394671623296,0.058317248517136,0.2099515799256505,0.0463653391849383,0.1866528190830235,0.0427233830699009,5236.356637115668,0.0003452669830012,0.1439352583527583,0.0175238762984069,9.958915196050729e-05,1.6885799072907088e-06
Yelbarga,2019-07-05,2019-08-04,-1.7623767089681834,0.3444146220570012,0.0874826878707057,0.2627131763733994,0.0711958194338761,0.2394746798843453,0.0669222081557718,5236.356637115668,0.0003452669830012,0.1378249291213866,0.0132375806690997,8.010524002981554e-05,1.0164990599267824e-06
Yelbarga,2019-09-03,2019-10-03,0.7756439975600102,0.4610842936802974,0.1319443601662742,0.3558446716232962,0.1110865257848019,0.3269736059479554,0.1089051618937752,5236.356637115668,0.0003452669830012,0.1337895955953231,0.031666860638904,7.625839202804718e-05,1.465510170434365e-06
Yelbarga,2019-10-03,2019-11-02,-0.2776404304411954,0.3524531598513011,0.1428607453724056,0.2541350371747212,0.1046740789904549,0.2313826827757125,0.1076716710653271,5236.356637115668,0.0003452669830012,0.1290800564295485,0.0235238865891971,8.217797005801957e-05,9.349476961136802e-07
Yelbarga,2019-11-02,2019-12-02,0.5777736006683334,0.4451895084675754,0.1301565717783136,0.2766764147046675,0.0844456893183096,0.264499297810822,0.0852815903508945,5236.356637115668,0.0003452669830012,0.1160452032653955,0.0252936328706603,8.40545638002494e-05,1.161346947692839e-06
Yelbarga,2019-12-02,2020-01-01,-0.0234256384536735,0.4250755885997521,0.1187428331718909,0.2547185873605948,0.0790256183120979,0.2371865241635687,0.0741766535879045,5236.356637115668,0.0003452669830012,0.112437480215258,0.0326860035570614,9.77516113952295e-05,1.538592676372279e-06
